Entity,Code,Date,people_fully_vaccinated
Bulgaria,BGR,2021-02-18,25441
Bulgaria,BGR,2021-02-19,26750
Bulgaria,BGR,2021-02-20,26923
Bulgaria,BGR,2021-02-21,26973
Bulgaria,BGR,2021-02-22,27952
Bulgaria,BGR,2021-02-23,29677
Bulgaria,BGR,2021-02-24,32008
Bulgaria,BGR,2021-02-25,34719
Bulgaria,BGR,2021-02-26,37181
Bulgaria,BGR,2021-02-27,37367
Bulgaria,BGR,2021-02-28,37379
Bulgaria,BGR,2021-03-01,38775
Bulgaria,BGR,2021-03-02,41525
Bulgaria,BGR,2021-03-03,41873
Bulgaria,BGR,2021-03-04,46712
Bulgaria,BGR,2021-03-05,49938
Bulgaria,BGR,2021-03-06,50051
Bulgaria,BGR,2021-03-07,50056
Bulgaria,BGR,2021-03-08,50653
Bulgaria,BGR,2021-03-09,51644
Canada,CAN,2021-01-07,2173
Canada,CAN,2021-01-08,4053
Canada,CAN,2021-01-09,5880
Canada,CAN,2021-01-10,5884
Canada,CAN,2021-01-11,5884
Canada,CAN,2021-01-12,6046
Canada,CAN,2021-01-13,16320
Canada,CAN,2021-01-14,21138
Canada,CAN,2021-01-15,26541
Canada,CAN,2021-01-16,28780
Canada,CAN,2021-01-17,31161
Canada,CAN,2021-01-18,31910
Canada,CAN,2021-01-19,37189
Canada,CAN,2021-01-20,53228
Canada,CAN,2021-01-21,63364
Canada,CAN,2021-01-22,74137
Canada,CAN,2021-01-23,82757
Canada,CAN,2021-01-24,87881
Canada,CAN,2021-01-25,100281
Canada,CAN,2021-01-26,114453
Canada,CAN,2021-01-27,82196
Canada,CAN,2021-01-28,91944
Canada,CAN,2021-01-29,101175
Canada,CAN,2021-01-30,109501
Canada,CAN,2021-01-31,111890
Canada,CAN,2021-02-01,116317
Canada,CAN,2021-02-02,121087
Canada,CAN,2021-02-03,130133
Canada,CAN,2021-02-04,142437
Canada,CAN,2021-02-05,155503
Canada,CAN,2021-02-06,168987
Canada,CAN,2021-02-07,176584
Canada,CAN,2021-02-08,187434
Canada,CAN,2021-02-09,204059
Canada,CAN,2021-02-10,223991
Canada,CAN,2021-02-11,244100
Canada,CAN,2021-02-12,266826
Canada,CAN,2021-02-13,287470
Canada,CAN,2021-02-14,301732
Canada,CAN,2021-02-15,309982
Canada,CAN,2021-02-16,327770
Canada,CAN,2021-02-17,343423
Canada,CAN,2021-02-18,363132
Canada,CAN,2021-02-19,387694
Canada,CAN,2021-02-20,404466
Canada,CAN,2021-02-21,417478
Canada,CAN,2021-02-22,449546
Canada,CAN,2021-02-23,467772
Canada,CAN,2021-02-24,482047
Canada,CAN,2021-02-25,498860
Canada,CAN,2021-02-26,511975
Canada,CAN,2021-02-27,519782
Canada,CAN,2021-02-28,525025
Canada,CAN,2021-03-01,538239
Canada,CAN,2021-03-02,548204
Canada,CAN,2021-03-03,554427
Canada,CAN,2021-03-04,558882
Canada,CAN,2021-03-05,561971
Canada,CAN,2021-03-06,564217
Canada,CAN,2021-03-07,565719
Canada,CAN,2021-03-08,575602
Canada,CAN,2021-03-09,579032
Cayman Islands,CYM,2021-02-04,3197
Cayman Islands,CYM,2021-02-09,4770
Cayman Islands,CYM,2021-02-10,5174
Cayman Islands,CYM,2021-02-12,6371
Cayman Islands,CYM,2021-02-17,6942
Cayman Islands,CYM,2021-02-19,7008
Cayman Islands,CYM,2021-02-20,7638
Cayman Islands,CYM,2021-02-23,7693
Cayman Islands,CYM,2021-02-24,7758
Cayman Islands,CYM,2021-03-05,8878
Chile,CHL,2021-01-13,1029
Chile,CHL,2021-01-14,5825
Chile,CHL,2021-01-15,8297
Chile,CHL,2021-01-16,8364
Chile,CHL,2021-01-17,8364
Chile,CHL,2021-01-18,8364
Chile,CHL,2021-01-19,8366
Chile,CHL,2021-01-20,8366
Chile,CHL,2021-01-21,8366
Chile,CHL,2021-01-22,8366
Chile,CHL,2021-01-23,8366
Chile,CHL,2021-01-24,8366
Chile,CHL,2021-01-25,9766
Chile,CHL,2021-01-26,10361
Chile,CHL,2021-01-27,10395
Chile,CHL,2021-01-28,10395
Chile,CHL,2021-01-29,10400
Chile,CHL,2021-01-30,10400
Chile,CHL,2021-01-31,10400
Chile,CHL,2021-02-01,10400
Chile,CHL,2021-02-02,10406
Chile,CHL,2021-02-03,10406
Chile,CHL,2021-02-04,12513
Chile,CHL,2021-02-05,13183
Chile,CHL,2021-02-06,13188
Chile,CHL,2021-02-07,13188
Chile,CHL,2021-02-08,24942
Chile,CHL,2021-02-09,44271
Chile,CHL,2021-02-10,52594
Chile,CHL,2021-02-11,55460
Chile,CHL,2021-02-12,55667
Chile,CHL,2021-02-13,55701
Chile,CHL,2021-02-14,55701
Chile,CHL,2021-02-15,55701
Chile,CHL,2021-02-16,55711
Chile,CHL,2021-02-17,55711
Chile,CHL,2021-02-18,55711
Chile,CHL,2021-02-19,55711
Chile,CHL,2021-02-20,55711
Chile,CHL,2021-02-21,55711
Chile,CHL,2021-02-22,55732
Chile,CHL,2021-02-23,55772
Chile,CHL,2021-02-24,55944
Chile,CHL,2021-02-25,56088
Chile,CHL,2021-02-26,56205
Chile,CHL,2021-02-27,56209
Chile,CHL,2021-02-28,56209
Chile,CHL,2021-03-01,56605
Chile,CHL,2021-03-02,68994
Chile,CHL,2021-03-03,222378
Chile,CHL,2021-03-04,387466
Chile,CHL,2021-03-05,547664
Chile,CHL,2021-03-06,571398
Chile,CHL,2021-03-07,578217
Chile,CHL,2021-03-08,787628
Chile,CHL,2021-03-09,864070
Costa Rica,CRI,2021-01-15,55
Costa Rica,CRI,2021-01-18,132
Costa Rica,CRI,2021-01-25,2421
Costa Rica,CRI,2021-02-01,11838
Costa Rica,CRI,2021-02-08,28363
Costa Rica,CRI,2021-02-15,42553
Costa Rica,CRI,2021-02-22,44021
Costa Rica,CRI,2021-03-01,46117
Costa Rica,CRI,2021-03-05,52745
Croatia,HRV,2021-01-25,11907
Croatia,HRV,2021-02-01,25099
Croatia,HRV,2021-02-03,28865
Croatia,HRV,2021-02-04,35912
Croatia,HRV,2021-02-09,41966
Croatia,HRV,2021-02-11,47969
Croatia,HRV,2021-02-15,52778
Croatia,HRV,2021-02-18,55053
Croatia,HRV,2021-02-22,57835
Croatia,HRV,2021-02-24,58305
Croatia,HRV,2021-02-25,58511
Croatia,HRV,2021-03-01,59983
Croatia,HRV,2021-03-04,60000
Cyprus,CYP,2021-01-23,2057
Cyprus,CYP,2021-01-30,5551
Cyprus,CYP,2021-02-06,10024
Cyprus,CYP,2021-02-13,14837
Cyprus,CYP,2021-02-20,19221
Cyprus,CYP,2021-02-23,20323
Cyprus,CYP,2021-02-26,22559
Czechia,CZE,2021-01-17,634
Czechia,CZE,2021-01-18,2431
Czechia,CZE,2021-01-19,5126
Czechia,CZE,2021-01-20,7747
Czechia,CZE,2021-01-21,9470
Czechia,CZE,2021-01-22,10505
Czechia,CZE,2021-01-23,11369
Czechia,CZE,2021-01-24,12230
Czechia,CZE,2021-01-25,15164
Czechia,CZE,2021-01-26,19117
Czechia,CZE,2021-01-27,23600
Czechia,CZE,2021-01-28,29676
Czechia,CZE,2021-01-29,37449
Czechia,CZE,2021-01-30,38530
Czechia,CZE,2021-01-31,39667
Czechia,CZE,2021-02-01,47493
Czechia,CZE,2021-02-02,57631
Czechia,CZE,2021-02-03,68566
Czechia,CZE,2021-02-04,81446
Czechia,CZE,2021-02-05,92017
Czechia,CZE,2021-02-06,94334
Czechia,CZE,2021-02-07,96795
Czechia,CZE,2021-02-08,108101
Czechia,CZE,2021-02-09,119922
Czechia,CZE,2021-02-10,132978
Czechia,CZE,2021-02-11,148907
Czechia,CZE,2021-02-12,163437
Czechia,CZE,2021-02-13,166383
Czechia,CZE,2021-02-14,167748
Czechia,CZE,2021-02-15,177020
Czechia,CZE,2021-02-16,185869
Czechia,CZE,2021-02-17,194001
Czechia,CZE,2021-02-18,201881
Czechia,CZE,2021-02-19,209067
Czechia,CZE,2021-02-20,210230
Czechia,CZE,2021-02-21,211233
Czechia,CZE,2021-02-22,217188
Czechia,CZE,2021-02-23,224057
Czechia,CZE,2021-02-24,229924
Czechia,CZE,2021-02-25,235364
Czechia,CZE,2021-02-26,240589
Czechia,CZE,2021-02-27,241134
Czechia,CZE,2021-02-28,241671
Czechia,CZE,2021-03-01,244960
Czechia,CZE,2021-03-02,248429
Czechia,CZE,2021-03-03,252802
Czechia,CZE,2021-03-04,257117
Czechia,CZE,2021-03-05,262233
Czechia,CZE,2021-03-06,263055
Czechia,CZE,2021-03-07,263873
Czechia,CZE,2021-03-08,268410
Czechia,CZE,2021-03-09,273488
Denmark,DNK,2021-01-15,5
Denmark,DNK,2021-01-16,12
Denmark,DNK,2021-01-17,724
Denmark,DNK,2021-01-18,2853
Denmark,DNK,2021-01-19,4938
Denmark,DNK,2021-01-20,6821
Denmark,DNK,2021-01-21,9173
Denmark,DNK,2021-01-22,14820
Denmark,DNK,2021-01-23,21993
Denmark,DNK,2021-01-24,28525
Denmark,DNK,2021-01-25,30977
Denmark,DNK,2021-01-26,32725
Denmark,DNK,2021-01-27,37086
Denmark,DNK,2021-01-28,45202
Denmark,DNK,2021-01-29,63525
Denmark,DNK,2021-01-30,76497
Denmark,DNK,2021-01-31,88796
Denmark,DNK,2021-02-01,96666
Denmark,DNK,2021-02-02,99690
Denmark,DNK,2021-02-03,105871
Denmark,DNK,2021-02-04,116789
Denmark,DNK,2021-02-05,130271
Denmark,DNK,2021-02-06,136982
Denmark,DNK,2021-02-07,140622
Denmark,DNK,2021-02-08,147675
Denmark,DNK,2021-02-09,152587
Denmark,DNK,2021-02-10,156505
Denmark,DNK,2021-02-11,158957
Denmark,DNK,2021-02-12,166564
Denmark,DNK,2021-02-13,167543
Denmark,DNK,2021-02-14,168175
Denmark,DNK,2021-02-15,171311
Denmark,DNK,2021-02-16,172636
Denmark,DNK,2021-02-17,173065
Denmark,DNK,2021-02-18,173366
Denmark,DNK,2021-02-19,174332
Denmark,DNK,2021-02-20,174909
Denmark,DNK,2021-02-21,175260
Denmark,DNK,2021-02-22,176342
Denmark,DNK,2021-02-23,178294
Denmark,DNK,2021-02-24,180264
Denmark,DNK,2021-02-25,180896
Denmark,DNK,2021-02-26,181888
Denmark,DNK,2021-02-27,183352
Denmark,DNK,2021-02-28,184756
Denmark,DNK,2021-03-01,185810
Denmark,DNK,2021-03-02,187107
Denmark,DNK,2021-03-03,188126
Denmark,DNK,2021-03-04,189940
Denmark,DNK,2021-03-05,195499
Denmark,DNK,2021-03-06,199489
Denmark,DNK,2021-03-07,203835
Denmark,DNK,2021-03-08,210098
Ecuador,ECU,2021-02-17,1962
Ecuador,ECU,2021-02-24,3708
Ecuador,ECU,2021-03-01,6228
Ecuador,ECU,2021-03-04,6228
Ecuador,ECU,2021-03-05,6228
Ecuador,ECU,2021-03-08,6228
Ecuador,ECU,2021-03-09,6228
England,,2021-01-03,20660
England,,2021-01-10,374613
England,,2021-01-11,393925
England,,2021-01-12,407294
England,,2021-01-13,415656
England,,2021-01-14,420510
England,,2021-01-15,424327
England,,2021-01-16,426102
England,,2021-01-17,427386
England,,2021-01-18,431136
England,,2021-01-19,434125
England,,2021-01-20,436848
England,,2021-01-21,439182
England,,2021-01-22,440300
England,,2021-01-23,441074
England,,2021-01-24,441684
England,,2021-01-25,443010
England,,2021-01-26,444011
England,,2021-01-27,445101
England,,2021-01-28,446372
England,,2021-01-29,447898
England,,2021-01-30,458150
England,,2021-01-31,460907
England,,2021-02-01,462503
England,,2021-02-02,463889
England,,2021-02-03,466171
England,,2021-02-04,468782
England,,2021-02-05,470723
England,,2021-02-06,471324
England,,2021-02-07,471636
England,,2021-02-08,473055
England,,2021-02-09,475228
England,,2021-02-10,479320
England,,2021-02-11,483966
England,,2021-02-12,487699
England,,2021-02-13,489885
England,,2021-02-14,490722
England,,2021-02-15,492576
England,,2021-02-16,495704
England,,2021-02-17,500201
England,,2021-02-18,504762
England,,2021-02-19,508657
England,,2021-02-20,511089
England,,2021-02-21,513435
England,,2021-02-22,518779
England,,2021-02-23,528360
England,,2021-02-24,542569
England,,2021-02-25,558737
England,,2021-02-26,574963
England,,2021-02-27,590547
England,,2021-02-28,599935
England,,2021-03-01,612567
England,,2021-03-02,640219
England,,2021-03-03,684220
England,,2021-03-04,729265
England,,2021-03-05,766500
England,,2021-03-06,788188
England,,2021-03-07,797321
England,,2021-03-08,821121
Estonia,EST,2021-01-28,6214
Estonia,EST,2021-01-29,7607
Estonia,EST,2021-01-30,9597
Estonia,EST,2021-01-31,10155
Estonia,EST,2021-02-01,10408
Estonia,EST,2021-02-02,11310
Estonia,EST,2021-02-03,12842
Estonia,EST,2021-02-04,14330
Estonia,EST,2021-02-05,15871
Estonia,EST,2021-02-06,17376
Estonia,EST,2021-02-07,17519
Estonia,EST,2021-02-08,17564
Estonia,EST,2021-02-10,19114
Estonia,EST,2021-02-11,20026
Estonia,EST,2021-02-12,21312
Estonia,EST,2021-02-13,22126
Estonia,EST,2021-02-14,22284
Estonia,EST,2021-02-15,22343
Estonia,EST,2021-02-16,22573
Estonia,EST,2021-02-17,23149
Estonia,EST,2021-02-18,23812
Estonia,EST,2021-02-19,24827
Estonia,EST,2021-02-20,25831
Estonia,EST,2021-02-21,26053
Estonia,EST,2021-02-22,26375
Estonia,EST,2021-02-23,27277
Estonia,EST,2021-02-24,28218
Estonia,EST,2021-02-25,28351
Estonia,EST,2021-02-27,33503
Estonia,EST,2021-03-01,34050
Estonia,EST,2021-03-02,35067
Estonia,EST,2021-03-04,39762
Estonia,EST,2021-03-05,42234
Estonia,EST,2021-03-07,43942
Estonia,EST,2021-03-09,44235
European Union,,2021-01-14,114
European Union,,2021-01-15,548
European Union,,2021-01-16,954
European Union,,2021-01-17,22960
European Union,,2021-01-18,62153
European Union,,2021-01-19,131280
European Union,,2021-01-20,234759
European Union,,2021-01-21,358351
European Union,,2021-01-22,442547
European Union,,2021-01-23,538585
European Union,,2021-01-24,638835
European Union,,2021-01-25,852194
European Union,,2021-01-26,1120051
European Union,,2021-01-27,1366418
European Union,,2021-01-28,1686284
European Union,,2021-01-29,1967574
European Union,,2021-01-30,2195939
European Union,,2021-01-31,2498239
European Union,,2021-02-01,2834730
European Union,,2021-02-02,3239240
European Union,,2021-02-03,3705561
European Union,,2021-02-04,4213291
European Union,,2021-02-05,4612213
European Union,,2021-02-06,4819269
European Union,,2021-02-07,5133017
European Union,,2021-02-08,5402940
European Union,,2021-02-09,5772887
European Union,,2021-02-10,6135885
European Union,,2021-02-11,6639486
European Union,,2021-02-12,7015156
European Union,,2021-02-13,7209489
European Union,,2021-02-14,7519567
European Union,,2021-02-15,7790163
European Union,,2021-02-16,8096331
European Union,,2021-02-17,8471909
European Union,,2021-02-18,8879178
European Union,,2021-02-19,9194607
European Union,,2021-02-20,9348770
European Union,,2021-02-21,9597216
European Union,,2021-02-22,9804403
European Union,,2021-02-23,10026431
European Union,,2021-02-24,10341670
European Union,,2021-02-25,10593548
European Union,,2021-02-26,10948927
European Union,,2021-02-27,11059629
European Union,,2021-02-28,11259098
European Union,,2021-03-01,11437360
European Union,,2021-03-02,11682900
European Union,,2021-03-03,12022744
European Union,,2021-03-04,12405114
European Union,,2021-03-05,12679840
European Union,,2021-03-06,12878178
European Union,,2021-03-07,13079926
European Union,,2021-03-08,13311538
European Union,,2021-03-09,13473422
Faeroe Islands,FRO,2021-01-29,1
Faeroe Islands,FRO,2021-02-06,606
Faeroe Islands,FRO,2021-02-08,685
Faeroe Islands,FRO,2021-02-10,1221
Faeroe Islands,FRO,2021-02-21,1515
Faeroe Islands,FRO,2021-02-23,2087
Faeroe Islands,FRO,2021-02-24,2523
Faeroe Islands,FRO,2021-03-03,2830
Faeroe Islands,FRO,2021-03-04,3156
Faeroe Islands,FRO,2021-03-05,3312
Faeroe Islands,FRO,2021-03-06,3674
Faeroe Islands,FRO,2021-03-08,3808
Finland,FIN,2021-01-25,4553
Finland,FIN,2021-01-26,6960
Finland,FIN,2021-01-27,9355
Finland,FIN,2021-01-28,10540
Finland,FIN,2021-01-29,14239
Finland,FIN,2021-01-30,17757
Finland,FIN,2021-02-01,18203
Finland,FIN,2021-02-02,18203
Finland,FIN,2021-02-03,23421
Finland,FIN,2021-02-04,34293
Finland,FIN,2021-02-05,42667
Finland,FIN,2021-02-06,48650
Finland,FIN,2021-02-07,49781
Finland,FIN,2021-02-08,49995
Finland,FIN,2021-02-09,53869
Finland,FIN,2021-02-10,55770
Finland,FIN,2021-02-11,60152
Finland,FIN,2021-02-12,63802
Finland,FIN,2021-02-13,66832
Finland,FIN,2021-02-14,66959
Finland,FIN,2021-02-15,66992
Finland,FIN,2021-02-16,67463
Finland,FIN,2021-02-17,68631
Finland,FIN,2021-02-18,70127
Finland,FIN,2021-02-19,71486
Finland,FIN,2021-02-20,72859
Finland,FIN,2021-02-21,75940
Finland,FIN,2021-02-24,75099
Finland,FIN,2021-02-25,77302
Finland,FIN,2021-02-26,79724
Finland,FIN,2021-02-27,80927
Finland,FIN,2021-02-28,81125
Finland,FIN,2021-03-01,82062
Finland,FIN,2021-03-03,83183
Finland,FIN,2021-03-04,83642
Finland,FIN,2021-03-05,84222
Finland,FIN,2021-03-06,84809
Finland,FIN,2021-03-08,84810
Finland,FIN,2021-03-09,85014
France,FRA,2021-01-26,5412
France,FRA,2021-01-27,11739
France,FRA,2021-01-28,24201
France,FRA,2021-01-29,41318
France,FRA,2021-01-30,45468
France,FRA,2021-01-31,47137
France,FRA,2021-02-01,67993
France,FRA,2021-02-02,102297
France,FRA,2021-02-03,138956
France,FRA,2021-02-04,189524
France,FRA,2021-02-05,233274
France,FRA,2021-02-06,243550
France,FRA,2021-02-07,248614
France,FRA,2021-02-08,294120
France,FRA,2021-02-09,366002
France,FRA,2021-02-10,442260
France,FRA,2021-02-11,540713
France,FRA,2021-02-12,614496
France,FRA,2021-02-13,633771
France,FRA,2021-02-14,640875
France,FRA,2021-02-15,716887
France,FRA,2021-02-16,816990
France,FRA,2021-02-17,919370
France,FRA,2021-02-18,1037266
France,FRA,2021-02-19,1127419
France,FRA,2021-02-20,1155637
France,FRA,2021-02-21,1161983
France,FRA,2021-02-22,1234673
France,FRA,2021-02-23,1318292
France,FRA,2021-02-24,1398984
France,FRA,2021-02-25,1490083
France,FRA,2021-02-26,1560575
France,FRA,2021-02-27,1582433
France,FRA,2021-02-28,1586842
France,FRA,2021-03-01,1639282
France,FRA,2021-03-02,1705966
France,FRA,2021-03-03,1771246
France,FRA,2021-03-04,1839826
France,FRA,2021-03-05,1902812
France,FRA,2021-03-06,1920395
France,FRA,2021-03-07,1925812
France,FRA,2021-03-08,1976264
Germany,DEU,2021-01-14,114
Germany,DEU,2021-01-15,543
Germany,DEU,2021-01-16,940
Germany,DEU,2021-01-17,14550
Germany,DEU,2021-01-18,30922
Germany,DEU,2021-01-19,58152
Germany,DEU,2021-01-20,108809
